,Unnamed: 0,mesh_area,mesh_rectangularity,mesh_eccentricity,mesh_volume,mesh_a3,mesh_d1,mesh_d2,mesh_d3,mesh_d4,mesh_compactness,mesh_diameter,ID,class
10,10,-0.5993027924992566,-0.7991481939589746,-0.05994480399667205,-0.5175232256020689,"[0.29252 0.17194 0.09444 0.06898 0.06096 0.0573  0.06608 0.07814 0.07532
 0.03432]","[0.40448792 0.40103567 0.13808976 0.05638665 0.         0.
 0.         0.         0.         0.        ]","[0.14726 0.28068 0.21306 0.14664 0.0946  0.05974 0.03714 0.01814 0.00274
 0.     ]","[0.297   0.59406 0.10678 0.00216 0.      0.      0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]",-0.034923634892123766,-0.6982691934401766,182,human
11,11,-0.3608966513019108,-0.47786726866307855,-0.15726906658479783,-0.40209144339707986,"[0.21976 0.21544 0.12424 0.09514 0.08202 0.0728  0.06776 0.06328 0.04448
 0.01508]","[0.34202454 0.4202454  0.19274029 0.04498978 0.         0.
 0.         0.         0.         0.        ]","[1.0694e-01 2.3666e-01 2.4876e-01 1.5554e-01 1.4100e-01 5.6380e-02
 3.0340e-02 1.2580e-02 1.1700e-02 1.0000e-04]","[0.18368 0.54294 0.24238 0.03012 0.00088 0.      0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 2.0000e-05 0.0000e+00 0.0000e+00]",-0.04644587646983624,-0.09983719611582248,590,handheld
12,12,-0.2899402557086924,-0.5150680162505193,-0.19243736422441612,-0.3091158137792317,"[0.13776 0.18804 0.15618 0.14064 0.12466 0.08754 0.06818 0.05182 0.03364
 0.01154]","[0.3393802  0.23582766 0.33408919 0.08767952 0.00302343 0.
 0.         0.         0.         0.        ]","[0.0565  0.15562 0.20564 0.16482 0.20462 0.08648 0.05578 0.05968 0.01086
 0.     ]","[1.1062e-01 3.3320e-01 3.2508e-01 1.6316e-01 5.9260e-02 8.4200e-03
 2.6000e-04 0.0000e+00 0.0000e+00 0.0000e+00]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]",-0.046548361101491874,-0.5394737762151864,1408,winged_vehicle
13,13,-0.2549033407571764,0.9569867423637207,-0.19248027189537678,0.486114689785541,"[0.12196 0.20114 0.18376 0.14192 0.11752 0.09322 0.0714  0.04266 0.0209
 0.00552]","[0.09279919 0.51724138 0.30983773 0.0801217  0.         0.
 0.         0.         0.         0.        ]","[0.05412 0.1322  0.23728 0.20776 0.14548 0.10992 0.06198 0.04322 0.00804
 0.     ]","[6.8440e-02 3.0978e-01 4.1250e-01 1.9908e-01 1.0180e-02 2.0000e-05
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 2.0000e-05 0.0000e+00]",-0.04663205255577962,-0.25852003673363566,100,quadruped
14,14,0.1979158147176306,0.32706478435232345,-0.1784745717047702,0.3700744459000959,"[0.13284 0.1937  0.18706 0.14422 0.1141  0.08438 0.06496 0.04394 0.02542
 0.00938]","[0.09223301 0.46062567 0.41909385 0.02804746 0.         0.
 0.         0.         0.         0.        ]","[0.04942 0.12964 0.1842  0.21336 0.1851  0.13716 0.06958 0.02852 0.00302
 0.     ]","[0.05892 0.3353  0.36932 0.18538 0.04836 0.00272 0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 2.0000e-05 0.0000e+00 0.0000e+00]",-0.04660780685726127,-0.5300310617701106,183,human
15,15,-0.25213977619532163,-0.5569306873180143,-0.13926961317496175,-0.3249366280501882,"[0.26438 0.19808 0.09542 0.07674 0.08576 0.06828 0.06246 0.06384 0.06002
 0.02502]","[0.36231039 0.4445741  0.15577596 0.03733956 0.         0.
 0.         0.         0.         0.        ]","[0.12968 0.2062  0.25702 0.16916 0.09948 0.0781  0.03798 0.0143  0.00808
 0.     ]","[0.24414 0.5547  0.17944 0.0205  0.00122 0.      0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04651386907450031,-0.20416213204513933,591,handheld
16,16,-0.38663701669271905,-0.6205277397349352,-0.2013430361556698,-0.14749094275905358,"[0.09776 0.18738 0.20334 0.18526 0.13654 0.0864  0.05304 0.0303  0.0154
 0.00458]","[0.07048832 0.42845011 0.43354565 0.06751592 0.         0.
 0.         0.         0.         0.        ]","[0.02758 0.1036  0.17856 0.2038  0.19784 0.15896 0.0924  0.03434 0.00292
 0.     ]","[0.03668 0.22266 0.36696 0.2647  0.09746 0.01154 0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 2.0000e-05 0.0000e+00 0.0000e+00]",-0.04661939014865359,-0.43674593398550243,1000,plant
17,17,-0.16186014005106836,-0.6571144730806159,-0.1886676527448978,-0.4420571413643192,"[0.15504 0.20936 0.1723  0.14344 0.11636 0.07884 0.05324 0.03698 0.02646
 0.00798]","[0.50322581 0.26359447 0.20046083 0.02534562 0.00737327 0.
 0.         0.         0.         0.        ]","[0.08636 0.29282 0.22004 0.16232 0.1242  0.05024 0.03182 0.03114 0.00106
 0.     ]","[1.8662e-01 5.1300e-01 2.3480e-01 4.8260e-02 1.5800e-02 1.5000e-03
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]",-0.045575094857089805,-0.6563727236465707,1409,winged_vehicle
18,18,-0.6117816635682579,0.5158031340803858,-0.03836615279449764,-0.39335293965745066,"[0.28276 0.17702 0.1     0.07318 0.07282 0.05754 0.05808 0.07302 0.07976
 0.02582]","[0.36092097 0.30118233 0.2576229  0.0802738  0.         0.
 0.         0.         0.         0.        ]","[0.14458 0.19952 0.18932 0.1684  0.12856 0.0606  0.04486 0.05494 0.00922
 0.     ]","[0.24632 0.53702 0.21612 0.00054 0.      0.      0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04660972741931723,-0.6920353620150556,184,human
19,19,0.6439520878483617,0.9508429041295725,-0.1992474125648858,0.733396961471822,"[0.11914 0.16958 0.2057  0.17628 0.11992 0.082   0.05762 0.03812 0.02232
 0.00932]","[0.05549793 0.57883817 0.34180498 0.02385892 0.         0.
 0.         0.         0.         0.        ]","[5.5960e-02 9.7880e-02 1.7060e-01 3.1220e-01 1.8062e-01 1.0444e-01
 5.7080e-02 1.8380e-02 2.7400e-03 1.0000e-04]","[7.1540e-02 2.6782e-01 3.6326e-01 2.6742e-01 2.9840e-02 1.2000e-04
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0000e-05
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04659646354474378,0.509127039269085,592,handheld
20,20,-0.1621776067369869,-0.42523834270711713,-0.19420503370245087,-0.12828849428295203,"[0.14116 0.2145  0.16722 0.13642 0.1041  0.08084 0.06346 0.0483  0.03284
 0.01116]","[0.39416984 0.4190959  0.15209125 0.03464301 0.         0.
 0.         0.         0.         0.        ]","[0.08848 0.26928 0.27654 0.17132 0.1037  0.06102 0.02228 0.00696 0.00042
 0.     ]","[1.4226e-01 4.8152e-01 3.0326e-01 6.8040e-02 4.7200e-03 2.0000e-04
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04659112504824953,-0.3963234067831585,1001,plant
21,21,-0.5706063776325064,-0.18372628275942612,-0.14187544334251498,-0.37868750575469745,"[0.23494 0.18358 0.10116 0.09372 0.09772 0.06416 0.0597  0.07258 0.07068
 0.02176]","[0.4901088  0.19535114 0.30464886 0.0098912  0.         0.
 0.         0.         0.         0.        ]","[0.13342 0.1948  0.22778 0.21676 0.11232 0.0494  0.03466 0.02732 0.00354
 0.     ]","[2.6258e-01 4.5534e-01 2.6928e-01 1.2660e-02 1.4000e-04 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0000e-05
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04660466887062838,-0.5907824684200326,141,human
22,22,0.13409197501572906,-0.5234824319602567,-0.19062767449198575,-0.23842232089578855,"[0.17792 0.21516 0.12766 0.12144 0.11622 0.0787  0.06222 0.05154 0.03544
 0.0137 ]","[0.10160428 0.26069519 0.34625668 0.29144385 0.         0.
 0.         0.         0.         0.        ]","[0.03446 0.1021  0.17186 0.18236 0.1164  0.10122 0.10088 0.08538 0.08692
 0.01842]","[0.05918 0.28028 0.34258 0.21648 0.0872  0.01428 0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 2.0000e-05 0.0000e+00]",-0.04639924414413759,0.8444896140842884,593,handheld
23,23,-0.5958031372324559,-0.1177062610840966,-0.12680853266316397,-0.38880687391438634,"[0.25894 0.20146 0.1113  0.08296 0.0774  0.0637  0.06178 0.07122 0.05244
 0.0188 ]","[0.38071625 0.35151515 0.17024793 0.09752066 0.         0.
 0.         0.         0.         0.        ]","[0.13624 0.22018 0.19534 0.1754  0.1258  0.0523  0.0406  0.04664 0.0075
 0.     ]","[0.23796 0.52096 0.23502 0.00606 0.      0.      0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0000e-05
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04660728186433969,-0.6762450403309008,185,human
24,24,5.546056416987956,-0.5689544502265493,-0.203115985565971,-0.03986396208506963,"[0.08492 0.19324 0.21474 0.17414 0.12614 0.08688 0.05752 0.03638 0.01982
 0.00622]","[0.17361586 0.50444293 0.31100478 0.01093643 0.         0.
 0.         0.         0.         0.        ]","[0.02756 0.14066 0.24238 0.25732 0.18112 0.10466 0.03758 0.00738 0.00134
 0.     ]","[0.04352 0.33884 0.41882 0.17134 0.02618 0.0013  0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 2.0000e-05 0.0000e+00 0.0000e+00]",-0.027244171282403497,-0.26753854149142825,1002,plant
25,25,-0.19488166902589266,-0.71368502970253,-0.19038350703088,-0.4591122161252405,"[0.15968 0.18436 0.17026 0.13976 0.11968 0.08536 0.0593  0.04138 0.02844
 0.01178]","[0.54054054 0.24718468 0.17004505 0.04222973 0.         0.
 0.         0.         0.         0.        ]","[1.0516e-01 3.2858e-01 2.0690e-01 1.3322e-01 1.3888e-01 4.7200e-02
 2.5200e-02 1.4740e-02 1.2000e-04 0.0000e+00]","[0.20092 0.45752 0.24608 0.068   0.02552 0.00196 0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04515910966115174,-0.6619813792234981,1410,winged_vehicle
26,26,0.8803798489759442,1.7647847676359787,-0.1918306007123674,0.7294261158795652,"[0.1474  0.23008 0.16704 0.12308 0.10208 0.08118 0.06222 0.04584 0.0301
 0.01098]","[0.15225464 0.39257294 0.36816976 0.08700265 0.         0.
 0.         0.         0.         0.        ]","[0.039   0.13328 0.23528 0.22078 0.14706 0.0924  0.06362 0.04944 0.0187
 0.00044]","[0.05834 0.31552 0.40702 0.19108 0.02804 0.      0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 2.0000e-05 0.0000e+00]",-0.046574785258455986,0.019652122849105867,594,handheld
27,27,-0.6141253316438469,0.15283695577786316,-0.07918227405787541,-0.41020498645384934,"[0.26242 0.18284 0.11794 0.0975  0.07762 0.06186 0.05654 0.0651  0.05922
 0.01896]","[0.26493109 0.57350689 0.08039816 0.08116386 0.         0.
 0.         0.         0.         0.        ]","[0.18612 0.18316 0.18862 0.2004  0.1098  0.03852 0.03108 0.05038 0.01192
 0.     ]","[0.26132 0.50804 0.22512 0.00552 0.      0.      0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0000e-05
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04660196435738474,-0.6926952234303062,186,human
28,28,0.7993375170733297,-0.5822949644005465,-0.20369699039822697,0.03548219265417829,"[0.10906 0.21032 0.20598 0.16404 0.11644 0.08128 0.05464 0.0333  0.01874
 0.0062 ]","[0.18799547 0.40062288 0.35815402 0.05322763 0.         0.
 0.         0.         0.         0.        ]","[0.03116 0.12812 0.20636 0.23456 0.19904 0.11794 0.05808 0.0215  0.00324
 0.     ]","[4.3740e-02 2.9674e-01 3.8596e-01 2.0726e-01 5.6080e-02 9.8800e-03
 3.4000e-04 0.0000e+00 0.0000e+00 0.0000e+00]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 2.0000e-05 0.0000e+00 0.0000e+00]",-0.04636605058133264,0.2553274092658758,1003,plant
29,29,-0.0742280570474871,-0.18474993755431668,-0.13103706010798397,-0.1321053343437126,"[0.23042 0.18496 0.1349  0.10402 0.08548 0.06976 0.06574 0.05584 0.04466
 0.02422]","[0.33189122 0.45673671 0.17058096 0.0407911  0.         0.
 0.         0.         0.         0.        ]","[0.12554 0.1984  0.28166 0.17078 0.13134 0.04794 0.0241  0.01932 0.00092
 0.     ]","[0.24224 0.46052 0.23608 0.05864 0.00252 0.      0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]",-0.046571896444425664,-0.4632894194275115,187,human
30,30,0.1336765103287334,1.664835472188288,-0.1892737272660824,0.07697241642974315,"[0.13746 0.17708 0.19808 0.15616 0.1142  0.0862  0.05968 0.03852 0.02
 0.01262]","[0.09632315 0.6794407  0.22164682 0.00258933 0.         0.
 0.         0.         0.         0.        ]","[0.07826 0.15416 0.26036 0.30148 0.12584 0.05546 0.02288 0.00102 0.00054
 0.     ]","[0.13142 0.37002 0.40068 0.09602 0.00186 0.      0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 2.0000e-05 0.0000e+00]",-0.04658316120487598,-0.5582870324398892,1411,car
31,31,1.685588652692805,-0.8292309910123222,-0.19841072687940087,-0.49395526083240987,"[0.11688 0.20496 0.18196 0.16872 0.13848 0.08378 0.0527  0.02944 0.01708
 0.006  ]","[0.0744619  0.12856312 0.49505526 0.30191972 0.         0.
 0.         0.         0.         0.        ]","[0.02148856 0.06709163 0.11165233 0.15990138 0.17170806 0.12993365
 0.11868824 0.12341893 0.07282458 0.02329264]","[0.01828 0.1322  0.263   0.29262 0.20772 0.08252 0.00366 0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 2.0000e-05]",0.2771871077854648,1.3230223588996148,595,handheld
32,32,-0.11166553511275376,-0.7743044002251355,-0.2034550736353069,-0.4056722088271273,"[0.09758 0.18908 0.20436 0.17222 0.12676 0.08766 0.05794 0.03676 0.02106
 0.00658]","[0.23901214 0.48555881 0.2683131  0.00711595 0.         0.
 0.         0.         0.         0.        ]","[4.6160e-02 1.5056e-01 2.7354e-01 2.4286e-01 1.7028e-01 8.8380e-02
 2.6200e-02 1.9000e-03 1.2000e-04 0.0000e+00]","[0.06736 0.34296 0.41136 0.1522  0.0254  0.00072 0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 2.0000e-05]",-0.04601769418091307,0.043796805108019345,1004,plant
33,33,1.1218149044608596,1.0572931630466351,-0.1954818772003981,0.9514705455695415,"[0.12278 0.20714 0.14838 0.15804 0.15542 0.1024  0.0504  0.029   0.01876
 0.00768]","[0.01216814 0.16814159 0.23119469 0.58849558 0.         0.
 0.         0.         0.         0.        ]","[0.03997998 0.03937938 0.10744745 0.1586987  0.15577578 0.09881882
 0.11025025 0.06526527 0.17205205 0.05233233]","[0.05254 0.13084 0.2118  0.25002 0.26546 0.08626 0.00308 0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0000e-05
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04657143160608888,1.7901063165703093,596,handheld
34,34,-0.16013422295435223,1.1114540129892745,-0.08579717773290593,-0.29657215031770706,"[0.23678 0.19834 0.1136  0.09698 0.0909  0.07518 0.06472 0.0618  0.04632
 0.01538]","[0.21846484 0.69779925 0.04884595 0.03488996 0.         0.
 0.         0.         0.         0.        ]","[0.16696 0.21738 0.19502 0.15172 0.19558 0.0389  0.01522 0.0188  0.00042
 0.     ]","[0.30754 0.47448 0.21554 0.00244 0.      0.      0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.0000e-05 0.0000e+00 0.0000e+00 0.0000e+00]",-0.04649755237087412,-0.6449465810430078,188,human
35,35,0.005790732182365614,-0.09925045051484829,-0.1875256518119713,-0.36231689793575805,"[0.1201  0.19558 0.18256 0.1474  0.1167  0.0907  0.06668 0.04552 0.02586
 0.0089 ]","[0.39695122 0.56036585 0.04207317 0.00060976 0.         0.
 0.         0.         0.         0.        ]","[9.5340e-02 2.3794e-01 3.5882e-01 1.9696e-01 8.0920e-02 2.8340e-02
 1.3400e-03 3.0000e-04 4.0000e-05 0.0000e+00]","[0.1742  0.54758 0.27302 0.0052  0.      0.      0.      0.      0.
 0.     ]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 2.0000e-05 0.0000e+00 0.0000e+00]",-0.046136598814990104,-0.689215238132017,1412,car
36,36,0.17287549916214845,2.379579676346264,-0.1881075463147775,0.7822645845152935,"[0.17018 0.22636 0.1382  0.10792 0.102   0.08664 0.08106 0.05636 0.0242
 0.00708]","[0.21609799 0.28258968 0.3648294  0.13648294 0.         0.
 0.         0.         0.         0.        ]","[0.0834  0.124   0.1488  0.1754  0.17368 0.1264  0.04984 0.07524 0.04246
 0.00078]","[1.0124e-01 3.0694e-01 2.9228e-01 2.3044e-01 6.8940e-02 1.6000e-04
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]","[9.9998e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 2.0000e-05 0.0000e+00 0.0000e+00]",-0.04662409861327591,0.17124546600787266,1413,car
